userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV
aashishg11,Electrical Engineering,0,0,Automation,91,MS,Instrumentation,,0,144,157,http://www.edulix.com/unisearch/user.php?uid=131610,0,3,73,Fall - 2013,0,A C Patil College of Engineering,,56.11,,100,
ninny.rgs,Electrical Engineering,0,0,,101,MS,Electrical Engineering,,0,430,740,http://www.edulix.com/unisearch/user.php?uid=10367,0,4.5,72.27,Fall - 2011,0,A C Patil College of Engineering,,72.27,,100,
prnk_us,Computer Science,0,0,Security,,MS,IT,,0,149,157,http://www.edulix.com/unisearch/user.php?uid=176915,0,3,8.5,Fall - 2013,0,A D Patel Institute Of Technology,,7.71,,10,
aashayshah,Computer Science,0,7,Big Data Data Mining,88,MS,Computer Engineering,23,0,147,164,http://www.edulix.com/unisearch/user.php?uid=281439,0,2.5,86,Spring - 2016,0,A D Patel Institute Of Technology,,62,,100,
vismayshah88,Electrical Engineering,0,0,VLSI/embedded,,MS,Electronics & Communication,,0,450,730,http://www.edulix.com/unisearch/user.php?uid=7725,0,2,9.78,Fall - 2011,0,A D Patel Institute Of Technology,,8.15,,10,
cjaganmohan,Computer Science,0,0,,102,MS,IT,,0,148,148,http://www.edulix.com/unisearch/user.php?uid=175804,0,3,82,Fall - 2013,0,AAMEC,,74,,100,
pvskmz,Electrical Engineering,0,0,VLSI,115,MS,Electronics and Communicaton Engineering,30,0,154,161,http://www.edulix.com/unisearch/user.php?uid=176075,0,3,85,Fall - 2013,0,Abhinav Hi-Tech College Of Engineering,,71,,100,
anu_661,Computer Science,0,0,,105,MS,IT,,0,590,750,http://www.edulix.com/unisearch/user.php?uid=10966,0,3,9.7,Fall - 2011,0,ABV-IIITM,,8.9,,10,
nachiappan123,Electrical Engineering,0,45,Embedded,100,MS,Electronics and Coomunication,24,0,157,163,http://www.edulix.com/unisearch/user.php?uid=252718,0,3,84,Fall - 2015,0,ACCET,,80.04,,100,
username123456,Computer Science,0,0,,95,MS,ECE,,0,143,162,http://www.edulix.com/unisearch/user.php?uid=215384,0,3,87,Spring - 2014,0,ACE Engineering College,,85,,100,
sam_the_killer,Computer Science,0,0,Operating Systems,89,MS,Computer Science,,0,370,690,http://www.edulix.com/unisearch/user.php?uid=1153,0,4,77,Fall - 2007,0,ACET Nagpur,,69.41,,100,
cooltito,Computer Science,0,0,,,MS,Computer Science,,0,157,160,http://www.edulix.com/unisearch/user.php?uid=171316,0,4,85,Fall - 2013,0,Acharya Institute of technology,,71,,100,
