userName,major,researchExp,industryExp,specialization,toeflScore,program,department,toeflEssay,internExp,greV,greQ,userProfileLink,journalPubs,greA,topperCgpa,termAndYear,confPubs,ugCollege,gmatA,cgpa,gmatQ,cgpaScale,gmatV
Vamsi_Viswanadha,Telecom management,0,0,Telecommunications and Network Management,107,MS,Electronics and Communications Engineering,,3,150,157,http://www.edulix.com/unisearch/user.php?uid=268681,0,4,9.01,Fall - 2015,0,GITAM University,,8.73,,10,
indu1234,Electronics and Communication,0,0,Integrated Circuits  RF,108,MS,ece,,0,155,161,http://www.edulix.com/unisearch/user.php?uid=215280,0,3.5,9.8,Fall - 2014,0,amrita vishwa vidyapeetham,,9.2,,10,
daqo,Computer Science,0,0,Software Engineering,98,Both MS and PhD,Computer Engineernig,,0,420,760,http://www.edulix.com/unisearch/user.php?uid=140325,0,4,85,Fall - 2012,0,Shahid Beheshti University  Iran,,70,,100,
kuchhal.dk,Electrical Engineering,0,0,,106,MS,electronics and communication,,0,155,162,http://www.edulix.com/unisearch/user.php?uid=238330,0,4,0,Fall - 2014,0,Manipal university,,8.21,,10,
navyatha,Computer Science,0,0,,95,MS,0,,0,520,800,http://www.edulix.com/unisearch/user.php?uid=10339,0,3,0,Fall - 2011,0,OSMANIA UNIVERSITY,,0,,0,
saikrish91,software engineering,0,0,Cloud Technologies,,MS,Information Technology,,0,159,161,http://www.edulix.com/unisearch/user.php?uid=239467,0,4,9.1,Fall - 2015,0,Rajalakshmi Engineering College,,6.76,,10,
Sum1991,Computer Engineering,0,19,Computer Architecture,104,MS,E&C;,,0,151,165,http://www.edulix.com/unisearch/user.php?uid=257197,0,3,9.9,Fall - 2015,0,The National Institute of Engineering,,9.45,,10,
Sweta_4488,MIS,0,0,,117,MS,Information Technology,30,0,154,160,http://www.edulix.com/unisearch/user.php?uid=176237,0,4,75,Fall - 2013,0,Mumbai Univeristy,,63,,100,
gupi_bagha,MIS/MS CS,0,0,,112,MS,IT,,0,155,163,http://www.edulix.com/unisearch/user.php?uid=93103,0,3.5,9.29,Fall - 2014,0,Institute of Engineering and Management,,7.83,,10,
Karthik bm,Computer Science,0,36,Machine Learning,85,MS,Computer Science,,0,140,166,http://www.edulix.com/unisearch/user.php?uid=226760,0,3,83,Spring - 2015,0,VTU Karnataka,,72.4,,100,
sabarish.raghu,Computer Science,0,0,Data Mining,,MS,Computer Science,,0,145,162,http://www.edulix.com/unisearch/user.php?uid=199183,0,3,8.9,Fall - 2014,0,Anna University,,8.014,,10,
niks17,MIS,0,0,,108,MS,ECE,,0,151,168,http://www.edulix.com/unisearch/user.php?uid=216646,0,3.5,8.5,Fall - 2014,0,IGIT  delhi,,7.8,,100,
doineo,Computer Science,0,0,,108,MS,Computer Science,,0,155,164,http://www.edulix.com/unisearch/user.php?uid=11538,0,,88,Fall - 2012,0,VTU,,72,,100,
Gorya951,(MIS / MSIM / MSIS / MSIT),0,36,MIS,99,MS,EC,,0,146,161,http://www.edulix.com/unisearch/user.php?uid=258265,0,3.5,0,Fall - 2015,0,University of Pune,,67.53,,100,
saieesh9000,Civil Engineering,0,0,construction mangment,,MS,civil enginerring,,0,136,150,http://www.edulix.com/unisearch/user.php?uid=275486,0,3,0,Fall - 2015,0,gitam university,,6.67,,10,
acreddy,Computer Science,0,0,Information Technology,,MS,IT,,0,147,157,http://www.edulix.com/unisearch/user.php?uid=169756,0,3,80,Fall - 2013,0,JNTU,,71,,100,
akshay_akki,Electronics and Communication,0,0,,98,MS,Electronics and communication,,0,145,160,http://www.edulix.com/unisearch/user.php?uid=132753,0,3,82,Fall - 2012,0,Vtu,,70,,100,
kdilip,Computer Science,0,0,,95,MS,CSIT,,0,540,680,http://www.edulix.com/unisearch/user.php?uid=10553,0,3,84,Fall - 2011,0,CVRCE,,74,,100,
YoungWolf,Computer Science,0,0,General,104,MS,CSE,,0,155,166,http://www.edulix.com/unisearch/user.php?uid=218917,0,3.5,10,Fall,0,THE LNM IIT,,7.66,,10,
kanchan.k,Computer Science,0,0,,,MS,Information Technology,,0,,,http://www.edulix.com/unisearch/user.php?uid=215430,0,,0,Fall - 2014,0,Mumbai,,0,,0,
soujanya.aithal,Computer Science,0,0,Systems/ Networks,98,MS,Computer Science,,0,150,160,http://www.edulix.com/unisearch/user.php?uid=173810,0,,86,Spring - 2013,0,RV College of Engineering - VTU India,,85,,100,
vasanth547,Industrial Engineering,0,0,,,MS,Mechanical Engieering,,0,163,145,http://www.edulix.com/unisearch/user.php?uid=184649,0,3,10,Fall - 2013,0,BITS Pilani,,7.39,,10,
snu91,MIS,0,9,,110,MS,IT,,0,150,156,http://www.edulix.com/unisearch/user.php?uid=248454,0,4,9,Fall - 2015,0,VJTI,,7.1,,10,
nmnilu6,Electrical Engineering,0,0,POWER ELECTRONICS,,PhD,ELECTRICAL ENGINEERING,,0,,,http://www.edulix.com/unisearch/user.php?uid=201051,0,,8.5,Fall - 2015,0,WEST BENGAL UNIVERSITY OF TECHNOLOGY,,8.23,,10,
MS_fall11,Engineering Management,0,0,software,116,MS,ETC,,0,670,770,http://www.edulix.com/unisearch/user.php?uid=9903,0,3.5,0,Fall - 2011,0,SSCET  Bhilai,,7.62,,10,
vnavgre,microelectronics,0,36,Device Physics  Solar Cells,107,MS,Electronics and Instrumentation,,0,163,158,http://www.edulix.com/unisearch/user.php?uid=177982,0,3,9.8,Fall - 2015,5,Amrita School of Engineering Bangalore,,8.57,,10,
shanky0300,Computational Biology,0,0,,112,PhD,Biotechnology,,0,590,800,http://www.edulix.com/unisearch/user.php?uid=178362,0,3.5,9.11,Fall - 2013,0,IIT Roorkee,,6.712,,10,
pbsureja,Computer Science,0,0,,97,MS,0,,0,150,163,http://www.edulix.com/unisearch/user.php?uid=222484,0,3,0,Fall - 2014,0,0,,0,,0,
ramaditya,Automotive Engineering,0,0,,,MS,0,,0,,,http://www.edulix.com/unisearch/user.php?uid=157995,0,,0,Fall - 2012,0,0,,0,,0,
achalarvind,Robotics,0,0,,115,MS,Computer Science,,0,159,168,http://www.edulix.com/unisearch/user.php?uid=173436,0,4,86,Fall - 2014,0,B. N. M. Institute of Technology,,75,,100,
ari_cooldude,Computer Science,0,0,Human Computer Interaction,116,MS,Computer Science Engineering,,0,660,800,http://www.edulix.com/unisearch/user.php?uid=131865,0,4,8.93,Fall - 2012,0,WBUT  Govt. College of Engg. Textile Technology  Serampore,,8.93,,10,
mayuri90,Mechanical Engineering,0,0,Mechanics,110,MS,Mechanical,,0,460,770,http://www.edulix.com/unisearch/user.php?uid=150517,0,4,0,Fall - 2012,0,Pune University,,71.1,,100,
sadhuvinay,MIS,0,0,,95,MS,Btech, Biotechnology,,0,370,730,http://www.edulix.com/unisearch/user.php?uid=71923,0,3,0,Fall - 2012,0,VIT University Vellore,,7.89,,10,
imgoku,Computer Science,0,0,,104,MS,CSE,,0,400,670,http://www.edulix.com/unisearch/user.php?uid=8628,0,3.5,94,Fall - 2011,0,Anna University,,70,,100,
milin1234,Computer Engineering,0,0,Computer Engineering,103,MS,Computer Technology,,0,152,157,http://www.edulix.com/unisearch/user.php?uid=176365,0,3,0,Fall - 2013,0,Nagpur University,,71.2,,100,
mtalhaawais,Aerospace Engineering,12,0,Flapping Wing UAVs,114,MS,Mechatronics Engineering,,2,156,157,http://www.edulix.com/unisearch/user.php?uid=230374,0,4,3.94,Fall - 2014,1,National University of Sciences and Technology,,2.67,,4,
neokao227,Computer Science,0,0,CS  IT  Tele,90,MS,Department of Geomatics,,0,720,800,http://www.edulix.com/unisearch/user.php?uid=168781,0,2.5,0,Spring - 2013,0,National Cheng-Chi University,,3.1,,4,
ChaiW,Mechanical Engineering,0,0,Thermal Systems,106,MS,Mechanical,25,0,560,750,http://www.edulix.com/unisearch/user.php?uid=11176,0,3.5,71,Fall - 2013,0,Pune University,,64,,100,
NewUser15,Financial Engineering,0,0,,118,MS,0,30,0,710,800,http://www.edulix.com/unisearch/user.php?uid=150697,0,4,0,Fall - 2012,0,0,,0,,0,
wolverine lll,Mechanical Engineering,0,0,,112,MS,Mechanical Engineering,,0,700,730,http://www.edulix.com/unisearch/user.php?uid=100171,0,3.5,83,Fall - 2012,0,Anna university,,76.18,,100,
V.Neeharika,Electronics and Communication,0,2,Physical Electronics,104,MS/PhD,Electrical Engineering,,12,151,166,http://www.edulix.com/unisearch/user.php?uid=252567,0,3.5,0,Fall - 2015,4,BITS Pilani  Hyd campus,,8.98,,10,
sachidanandaks,Mechanical Engineering,0,0,Design/Manufacturing,91,MS,Mechanical Engineering,23,0,143,157,http://www.edulix.com/unisearch/user.php?uid=213315,0,3,9.08,Fall - 2014,0,Nitte Meenakshi Institute of Technology (Autonomous) / VTU,,8.71,,10,
monsterhimself,Computer Science,0,0,,118,MS,ISE,,0,690,800,http://www.edulix.com/unisearch/user.php?uid=113169,0,4.5,9.5,Fall - 2012,0,PESIT,,8.55,,10,
shanki23.18,CS / MIS,0,0,,100,MS,CS,,0,480,790,http://www.edulix.com/unisearch/user.php?uid=80545,0,3,85,Fall - 2013,0,Sir MVIT,,75,,100,
aditya18,Computer Science,0,0,,109,MS,Computer Science,,0,153,157,http://www.edulix.com/unisearch/user.php?uid=200793,0,4,84,Fall - 2014,0,VTU/BMSCE,,68.3,,100,
kravi88,MIS,0,0,,116,MS,Information Technology,30,0,154,160,http://www.edulix.com/unisearch/user.php?uid=151283,0,4,0,Fall - 2013,0,University of Mumbai,,64,,100,
marcvaz,Electrical Engg/ comp engg,0,0,Computer Architecture,119,MS,Electrical Engineering,,0,570,800,http://www.edulix.com/unisearch/user.php?uid=7583,0,4.5,80,Fall - 2011,0,Anna University/ Sri Ramakrishna Institute of Technology,,80,,100,
mclint,Computer Engineering,0,0,,116,MS,EEE,,0,162,170,http://www.edulix.com/unisearch/user.php?uid=172663,0,4.5,0,Fall - 2013,0,Anna Univ / TCE,,8.8,,10,
pmaheshwari,Industrial Engg/Robotics,0,0,,,MS,Mechanical Engineering,,0,144,158,http://www.edulix.com/unisearch/user.php?uid=194826,0,3,0,Fall - 2013,0,A.I.S.S.M.S. C.O.E. Pune,,64.4,,100,
jayvastani,MIS,0,0,,106,MS,Computer,29,0,155,164,http://www.edulix.com/unisearch/user.php?uid=163877,0,3.5,80,Fall - 2013,0,Mumbai University,,61,,100,
ashputtle,Computer Science,0,0,,110,MS,CSE,,0,161,168,http://www.edulix.com/unisearch/user.php?uid=201826,0,4,9.22,Fall - 2014,0,NIT Calicut,,6.91,,10,
pratheba,Computer Science,0,0,Networking,103,MS,IT,,0,630,770,http://www.edulix.com/unisearch/user.php?uid=10817,0,4,9.3,Fall - 2011,0,PSG College of Technology,,8.71,,10,
krthk,Electrical & Computer Engineering,0,0,Machine Learning/Computer Vision,106,MS,Engineering Physics,,0,160,169,http://www.edulix.com/unisearch/user.php?uid=173761,0,4,0,Fall - 2013,0,IIT Madras,,0,,0,
sitalkedia,Computer Science,0,0,Computer Networks and distributed systems,103,MS,CSE,,0,700,780,http://www.edulix.com/unisearch/user.php?uid=4811,0,3.5,8.4,Fall - 2011,0,Indian School of Mines University Dhanbad,,8,,10,
@erobo9,Mechanical Engineering,0,0,Design of Clean Energy Systems,111,MS,Mechanical Engineering,30,0,154,161,http://www.edulix.com/unisearch/user.php?uid=173117,0,4.5,0,Fall - 2013,0,Thiagarajar College of Engineering,,7.85,,10,
rnadts,Electronics and Communication,0,54,Control Engineering,,MS,Electronics and Communication Engineering,,1,158,163,http://www.edulix.com/unisearch/user.php?uid=265283,0,5.5,77,Spring - 2016,0,University of Calicut,,65,,100,
bganapathi,Human Computer Interaction,0,0,,117,MS,EEE,29,0,560,800,http://www.edulix.com/unisearch/user.php?uid=9499,0,4.5,86,Fall - 2011,0,Anna University,,72,,100,
kjsanjay,Electrical and Computer Engineering,0,0,Embedded Systems,99,MS,Electrical & Electronics Engineering,25,0,149,164,http://www.edulix.com/unisearch/user.php?uid=111536,0,3.5,83,Spring - 2013,0,Govt. Engineering College Trichur[University of Calicut],,70,,100,
